authority,code,website,email,domain
South Ayrshire,S12000028,https://www.south-ayrshire.gov.uk/libraries/branches/mobile-library.aspx,,south-ayrshire.gov.uk
South Gloucestershire,E06000025,http://www.southglos.gov.uk/leisure-and-culture/libraries/mobile-library,,southglos.gov.uk
South Lanarkshire,S12000029,http://www.slleisureandculture.co.uk/info/102/mobile_library,,slleisureandculture.co.uk
South Tyneside,E08000023,,,
Southampton,E06000045,,,
Southend-on-Sea,E06000033,,,
Southwark,E09000028,,,
St Helens,E08000013,,,
Staffordshire,E10000028,https://www.staffordshire.gov.uk/leisure/librariesnew/branchlibraries/mobilelibraries/home.aspx,,staffordshire.gov.uk
Stirling,S12000030,https://my.stirling.gov.uk/libraries-archives/your-local-library/mobile-libraries,,stirling.gov.uk
Stockport,E08000007,,,
Stockton on Tees,E06000004,https://www.stockton.gov.uk/arts-culture-and-leisure/libraries/find-a-local-library/library-mobile-services,,stockton.gov.uk
Stoke on Trent,E06000021,,,
Suffolk,E10000029,https://www.suffolklibraries.co.uk/mobiles-home/mobile-route-schedules,,suffolklibraries.co.uk
Sunderland,E08000024,,,
Surrey,E10000030,,,
Sutton,E09000029,,,
Swansea,W06000011,,,
Swindon,E06000030,,,
Tameside,E08000008,,,
Telford and Wrekin,E06000020,,,
Thurrock,E06000034,,,
Torbay,E06000027,,,
Torfaen,W06000020,,,
Tower Hamlets,E09000030,,,
Trafford,E08000009,,,
Vale of Glamorgan,W06000014,,,
Wakefield,E08000036,https://www.wakefield.gov.uk/libraries-and-local-history/your-local-library/mobile-library-service,,wakefield.gov.uk
Walsall,E08000030,http://lovelibrarieswalsall.co.uk/locations/mobile-library-services,,walsall.gov.uk
Waltham Forest,E09000031,,,
Wandsworth,E09000032,,,
Warrington,E06000007,,,
Warwickshire,E10000031,https://www.warwickshire.gov.uk/mobilelibraries,,warwickshire.gov.uk
West Berkshire,E06000037,http://info.westberks.gov.uk/mobilelibraries,,westberks.gov.uk
West Dunbartonshire,S12000039,http://www.west-dunbarton.gov.uk/libraries/mobile-housebound-services/mobile-library-service,,west-dunbarton.gov.uk
West Lothian,S12000040,,,
West Sussex,E10000032,https://www.westsussex.gov.uk/libraries/using-library-services/mobile-libraries,,westsussex.gov.uk
Westminster,E09000033,,,
Wigan,E08000010,,,
Wiltshire,E06000054,https://services.wiltshire.gov.uk/MobileLibrary,,wiltshire.gov.uk
Windsor & Maidenhead,E06000040,https://www3.rbwm.gov.uk/info/200197/libraries/834/mobile_library_service,,rbwm.gov.uk
Wirrall,E08000015,,,
Wokingham,E06000041,,,
Wolverhampton,E08000031,,,
Worcestershire,E10000034,http://www.worcestershire.gov.uk/info/20305/mobile_libraries,,worcestershire.gov.uk
Wrexham,W06000006,http://www.wrexham.gov.uk/english/community/libraries/mobile_library.htm,,wrexham.gov.uk
York,E06000014,https://www.exploreyork.org.uk/mobile-library/,,exploreyork.org.uk
